id,Code,Name,Raion,Street,House,Lat,Lon,text
20110,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.735921,60.695631999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20112,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.737037,60.696493999999994,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20114,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73745600000001,60.696743000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20116,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.738227,60.698415000000004,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20118,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.738967,60.699404,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20120,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.73533199999999,60.69505600000001,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20122,641.0,город Екатеринбург,Чкаловский район,Нижне-Исетское кладбище,,56.739557999999995,60.700184,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Нижне-Исетское кладбище
20124,641.0,город Екатеринбург,Чкаловский район,Профсоюзная,45,56.755244,60.692671,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Профсоюзная
20126,641.0,город Екатеринбург,Чкаловский район,Орденоносцев,10,56.75404,60.689979,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Орденоносцев
20128,641.0,город Екатеринбург,Чкаловский район,Грибоедова,11,56.752705000000006,60.693536,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Грибоедова
20129,641.0,город Екатеринбург,Чкаловский район,Грибоедова,7,56.752751,60.691714000000005,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Грибоедова
20130,641.0,город Екатеринбург,Чкаловский район,Грибоедова,13,56.753997,60.693528,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Грибоедова
20131,641.0,город Екатеринбург,Чкаловский район,Академика Губкина,74,56.750358999999996,60.710257999999996,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Академика Губкина
20134,641.0,город Екатеринбург,Чкаловский район,Грибоедова,8,56.751614000000004,60.693909,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Грибоедова
20135,641.0,город Екатеринбург,Чкаловский район,Многостаночников,13,56.75337,60.703413,город Екатеринбург<br>Район: Чкаловский район<br>Улица: Многостаночников
